O*NET-SOC Code,Tool Name
11-3021.00,CA Erwin Data Modeler
11-3021.00,Cisco Systems WAN Manager
11-3021.00,Citrix
11-3021.00,Common business oriented language COBOL
11-3021.00,Corel Office Suite
11-3021.00,Customer information control system CICS
11-3021.00,Dartware InterMapper
11-3021.00,Data entry software
11-3021.00,Drupal
11-3021.00,Dynamic hypertext markup language DHTML
11-3021.00,Eclipse IDE
11-3021.00,Embarcadero Delphi
11-3021.00,Enterprise JavaBeans
11-3021.00,Extensible HyperText Markup Language XHTML
11-3021.00,Extensible markup language XML
11-3021.00,File transfer protocol FTP software
11-3021.00,FileMaker Pro
11-3021.00,Firewall software
11-3021.00,Google Analytics
11-3021.00,Help desk software
11-3021.00,Hewlett Packard HP-UX
11-3021.00,Human resource management software HRMS
11-3021.00,Hypertext markup language HTML
11-3021.00,IBM Cognos Impromptu
11-3021.00,IBM Domino
11-3021.00,IBM InfoSphere DataStage
11-3021.00,IBM iSeries Access
11-3021.00,IBM Power Systems software
11-3021.00,IBM SPSS Statistics
11-3021.00,IBM WebSphere
11-3021.00,Infor ERP Baan
11-3021.00,Integrated development environment IDE software
11-3021.00,JavaScript
11-3021.00,K2 Business Process Automation
11-3021.00,KornShell
11-3021.00,LAMP Stack
11-3021.00,LAN software
11-3021.00,Langlais Computer Consultants CalMan
11-3021.00,Linux
11-3021.00,Linux-based email software
11-3021.00,Mac HelpMate
11-3021.00,McAfee
11-3021.00,Microsoft .NET Framework
11-3021.00,Microsoft Access
11-3021.00,Microsoft Active Server Pages ASP
11-3021.00,Microsoft Azure
11-3021.00,Microsoft Business Contact Manager
11-3021.00,Microsoft Dynamics
11-3021.00,Microsoft Dynamics AX
11-3021.00,Microsoft Dynamics CRM
11-3021.00,Microsoft Dynamics GP
11-3021.00,Microsoft Dynamics NAV
11-3021.00,Microsoft Entourage
11-3021.00,Microsoft Excel
11-3021.00,Microsoft Exchange Server
11-3021.00,Microsoft Front Page
11-3021.00,Microsoft Internet Explorer
11-3021.00,Microsoft Office
11-3021.00,Microsoft Office SharePoint Server MOSS
11-3021.00,Microsoft Outlook
11-3021.00,Microsoft PowerPoint
11-3021.00,Microsoft Project
11-3021.00,Microsoft SharePoint
11-3021.00,Microsoft SQL Server
11-3021.00,Microsoft SQL Server Reporting Services SSRS
11-3021.00,Microsoft Visio
11-3021.00,Microsoft Visual Basic
11-3021.00,Microsoft Visual Basic Scripting Edition VBScript
